State_ID,StateName
1201,Andaman And Nicobar
1202,Andhra Pradesh
1203,Arunachal Pradesh
1204,Assam
1205,Bihar
1206,Chandigarh
1207,Chhattisgarh
1208,Dadra And Nagar Haveli
1209,Daman and Diu
1210,Delhi
1211,Goa
1212,Gujarat
1213,Haryana
1214,Himachal Pradesh
1215,Jammu and Kashmir
1216,Jharkhand
1217,Karnataka
1218,Kerala
1219,Lakshdweep
1220,Madhya Pradesh
1221,Maharashtra
1222,Manipur
1223,Meghalaya
1224,Mizoram
1225,Nagaland
1226,Odisha
1227,Puducherry
1228,Punjab
1229,Rajasthan
1230,Sikkim
1231,Tamil Nadu
1232,Tripura
1233,Uttar Pradesh
1234,Uttarakhand
1235,West Bengal
